Yuxtaposición;"Pedro es muy estudioso; siempre saca las mejores notas";Pedro es muy estudioso. Por eso siempre saca las mejores notas.;SI
Yuxtaposición;Lucía es muy amable, todos quieren ser su amigo;Lucía es muy amable. Por eso, todos quieren ser su amigo.;SI
Yuxtaposición;"Fuimos al cine; había una buena película";Fuimos al cine porque había una buena película.;SI
Yuxtaposición;Marta no vino a la reunión, estaba cansada;Marta no vino a la reunión porque estaba cansada.;SI
Yuxtaposición;Los niños juegan en el parque, los adultos conversan en las bancas;Los niños juegan en el parque. Mientras tanto, los adultos conversan en las bancas.;SI
Yuxtaposición;Ven a mi casa, tenemos que estudiar para el examen;Ven a mi casa para que podamos estudiar para el examen.;SI
Yuxtaposición;Termina tus deberes, luego podrás jugar;Termina tus deberes. Después podrás jugar.;SI
Yuxtaposición;Vamos en bicicleta, es un día precioso;Vamos en bicicleta porque es un día precioso.;SI
Yuxtaposición;La lavadora no arranca, llamaré al técnico;La lavadora no arranca. Por eso, llamaré al técnico.;SI
Yuxtaposición;El coche se averió, tuvimos que llamar a la grúa;El coche se averió. Por eso, tuvimos que llamar a la grúa.;SI
Yuxtaposición;"Voy a la biblioteca; necesito un libro para la tarea";Voy a la biblioteca porque necesito un libro para la tarea.;SI
Yuxtaposición;El fin de semana iré a visitarte, quédate en tu casa.;El fin de semana iré a visitarte. Por eso, quédate en tu casa.;SI
Yuxtaposición;Josefina es una persona muy activa, todos la quieren en su equipo.;Josefina es una persona muy activa. Por eso, todos la quieren en su equipo.;SI
Yuxtaposición;"Fui a la casa de Mariana; me había invitado el domingo.";Fui a la casa de Mariana. Mariana me había invitado el domingo.;SI
Yuxtaposición;Andrea no fue a la clase, su hermana estaba enferma;Andrea no fue a la clase porque su hermana estaba enferma.;SI
Yuxtaposición;Los pájaros pían desde los árboles, los gatos maúllan desde las ventanas.;Los pájaros pían desde los árboles. Y los gatos maúllan desde las ventanas.;SI
Yuxtaposición;Ven conmigo, te enseñaré la biblioteca.;Ven conmigo y te enseñaré la biblioteca.;SI
Yuxtaposición;Acaba la tarea, lo primero es lo primero.;Acaba la tarea porque lo primero es lo primero.;SI
Yuxtaposición;Vamos a pie, tengo que hacer ejercicio.;Vamos a pie porque tengo que hacer ejercicio.;SI
Yuxtaposición;La moto no funciona, llama a un técnico.;La moto no funciona. Por eso, llama a un técnico.;SI
Yuxtaposición;"Pedro es muy estudioso; siempre saca las mejores notas";"Pedro es muy estudioso; siempre obtiene los mejores resultados";NO
Yuxtaposición;Lucía es muy amable, todos quieren ser su amigo;Lucía es muy amable, todos desean hablar con ella;NO
Yuxtaposición;"Fuimos al cine; había una buena película";"Fuimos al cine; estaba proyectando una película famosa";NO
Yuxtaposición;Marta no vino a la reunión, estaba cansada;Marta no asistió a la reunión, estaba ocupada;NO
Yuxtaposición;Los niños juegan en el parque, los adultos conversan en los bancos;Los niños juegan en el parque, los adultos se sientan en los bancos;NO
Yuxtaposición;Ven a mi casa, tenemos que estudiar para el examen;Ven a mi casa, necesitamos estudiar para aprobar;NO
Yuxtaposición;Termina tus deberes, luego podrás jugar;Termina tus deberes, luego jugaremos;NO
Yuxtaposición;Vamos en bicicleta, hace un día espectacular;Vamos en bicicleta, hace sol;NO
Yuxtaposición;La lavadora no arranca, llamaré al técnico;La lavadora no lava bien, llamaré al técnico;NO
Yuxtaposición;El coche se averió, tuvimos que llamar a la grúa;El coche se averió, el seguro llamó a una grúa;NO
