Perífrasis verbal;Tengo que ir al supermercado después del trabajo;Después del trabajo, debo ir al supermercado;SI
Perífrasis verbal;Estoy pensando en comprar un coche nuevo;Estoy considerando comprar un coche nuevo;SI
Perífrasis verbal;Él acaba de salir de la universidad y está buscando trabajo; Él está en búsqueda de trabajo después de salir de la universidad;SI
Perífrasis verbal;Vamos a tener que empezar a ahorrar si queremos ir de vacaciones;Si queremos ir de vacaciones, tendremos que comenzar a ahorrar;SI
Perífrasis verbal;Me gustaría poder viajar más a menudo;Quisiera tener la oportunidad de viajar más seguido;SI
Perífrasis verbal;Voy a ir al cine esta noche con mis amigos;No tengo planes para esta noche;NO
Perífrasis verbal;Tiene que hacer la tarea antes de cenar.;Antes de cenar, debe hacer la tarea.;SI
Perífrasis verbal;Estoy deseando ver la nueva película.;Tengo ganas de ver la nueva película.;SI
Perífrasis verbal;Está por llover, lleva el paraguas.;Lleva el paraguas, se va a llover.;SI
Perífrasis verbal;Quiero ir a la playa este fin de semana.;Me gustaría ir a la playa este fin de semana.;SI
Perífrasis verbal;Estoy pensando en adoptar un perro.;Estoy considerando adoptar un perro.;SI
Perífrasis verbal;Deberíamos empezar a estudiar para el examen.;Tenemos que estudiar para el examen.;SI
Perífrasis verbal;Vamos a tener que levantarnos temprano para el viaje.;Para el viaje, tendremos que despertar temprano.;SI
Perífrasis verbal;Estoy planeando hacer una fiesta sorpresa para mi mejor amigo.;Estoy organizando una fiesta sorpresa para mi mejor amigo.;SI
Perífrasis verbal;Debes apurarte si no quieres llegar tarde.;Si no quieres llegar tarde, necesitas apresurarte.;SI
Perífrasis verbal;Estoy considerando comprar un nuevo teléfono.;Estoy pensando en comprar un teléfono nuevo.;SI
Perífrasis verbal;Estoy deseando ver la nueva película.;Voy a ver una serie en casa.;NO
Perífrasis verbal;Quiero ir a la playa este fin de semana.;Voy a visitar a mi abuela este fin de semana.;NO
Perífrasis verbal;Estoy pensando en adoptar un perro.;Voy a comprar un gato.;NO
Perífrasis verbal;Deberíamos empezar a estudiar para el examen.;Vamos a jugar videojuegos toda la noche.;NO
Perífrasis verbal;Estoy planeando hacer una fiesta sorpresa para mi mejor amigo.;Estoy planeando un viaje a la montaña.;NO
